object_id,type,state,color,x,y,angle,length,width,base_length,radius
0,boundary,Static,Black,128.0,-2.5,0.0,256.0,5.0,,
1,boundary,Static,Black,-2.5,128.0,0.0,5.0,256.0,,
2,boundary,Static,Black,128.0,258.5,0.0,256.0,5.0,,
3,boundary,Static,Black,258.5,128.0,0.0,5.0,256.0,,
4,circle,Dynamic,Green,102.40000915527344,97.08366394042969,,,,,7.5
5,circle,Dynamic,Blue,230.39999389648438,97.08366394042969,,,,,7.5
6,User Circle,Dynamic,Red,235,67,,,,,4
object_id,type,state,color,x,y,angle,length,width,base_length,radius
0,boundary,Static,Black,128.0,-2.5,0.0,256.0,5.0,,
1,boundary,Static,Black,-2.5,128.0,0.0,5.0,256.0,,
2,boundary,Static,Black,128.0,258.5,0.0,256.0,5.0,,
3,boundary,Static,Black,258.5,128.0,0.0,5.0,256.0,,
4,circle,Dynamic,Green,12.80000114440918,173.8836669921875,,,,,7.5
5,circle,Dynamic,Blue,192.0,177.8836669921875,,,,,11.5
6,User Circle,Dynamic,Red,5,6,,,,,3
object_id,type,state,color,x,y,angle,length,width,base_length,radius
0,boundary,Static,Black,128.0,-2.5,0.0,256.0,5.0,,
1,boundary,Static,Black,-2.5,128.0,0.0,5.0,256.0,,
2,boundary,Static,Black,128.0,258.5,0.0,256.0,5.0,,
3,boundary,Static,Black,258.5,128.0,0.0,5.0,256.0,,
4,circle,Dynamic,Green,38.400001525878906,58.68367004394531,,,,,7.5
5,circle,Dynamic,Blue,115.19999694824219,58.68367004394531,,,,,7.5
6,User Circle,Dynamic,Red,137,106,,,,,23
object_id,type,state,color,x,y,angle,length,width,base_length,radius
0,boundary,Static,Black,128.0,-2.5,0.0,256.0,5.0,,
1,boundary,Static,Black,-2.5,128.0,0.0,5.0,256.0,,
2,boundary,Static,Black,128.0,258.5,0.0,256.0,5.0,,
3,boundary,Static,Black,258.5,128.0,0.0,5.0,256.0,,
4,circle,Dynamic,Green,25.60000228881836,66.68366241455078,,,,,15.5
5,circle,Dynamic,Blue,243.1999969482422,58.68367004394531,,,,,7.5
6,User Circle,Dynamic,Red,19,22,,,,,3
object_id,type,state,color,x,y,angle,length,width,base_length,radius
0,boundary,Static,Black,128.0,-2.5,0.0,256.0,5.0,,
1,boundary,Static,Black,-2.5,128.0,0.0,5.0,256.0,,
2,boundary,Static,Black,128.0,258.5,0.0,256.0,5.0,,
3,boundary,Static,Black,258.5,128.0,0.0,5.0,256.0,,
4,circle,Dynamic,Green,153.60000610351562,105.08366394042969,,,,,15.5
5,circle,Dynamic,Blue,217.60000610351562,97.08366394042969,,,,,7.5
6,User Circle,Dynamic,Red,135,176,,,,,11
object_id,type,state,color,x,y,angle,length,width,base_length,radius
0,boundary,Static,Black,128.0,-2.5,0.0,256.0,5.0,,
1,boundary,Static,Black,-2.5,128.0,0.0,5.0,256.0,,
2,boundary,Static,Black,128.0,258.5,0.0,256.0,5.0,,
3,boundary,Static,Black,258.5,128.0,0.0,5.0,256.0,,
4,circle,Dynamic,Green,89.5999984741211,135.48367309570312,,,,,7.5
5,circle,Dynamic,Blue,217.60000610351562,135.48367309570312,,,,,7.5
6,User Circle,Dynamic,Red,225,91,,,,,29
object_id,type,state,color,x,y,angle,length,width,base_length,radius
0,boundary,Static,Black,128.0,-2.5,0.0,256.0,5.0,,
1,boundary,Static,Black,-2.5,128.0,0.0,5.0,256.0,,
2,boundary,Static,Black,128.0,258.5,0.0,256.0,5.0,,
3,boundary,Static,Black,258.5,128.0,0.0,5.0,256.0,,
4,circle,Dynamic,Green,102.40000915527344,105.08366394042969,,,,,15.5
5,circle,Dynamic,Blue,230.39999389648438,101.08367156982422,,,,,11.5
6,User Circle,Dynamic,Red,235,67,,,,,4
object_id,type,state,color,x,y,angle,length,width,base_length,radius
0,boundary,Static,Black,128.0,-2.5,0.0,256.0,5.0,,
1,boundary,Static,Black,-2.5,128.0,0.0,5.0,256.0,,
2,boundary,Static,Black,128.0,258.5,0.0,256.0,5.0,,
3,boundary,Static,Black,258.5,128.0,0.0,5.0,256.0,,
4,circle,Dynamic,Green,64.0,105.08366394042969,,,,,15.5
5,circle,Dynamic,Blue,166.39999389648438,105.08366394042969,,,,,15.5
6,User Circle,Dynamic,Red,35,50,,,,,26
object_id,type,state,color,x,y,angle,length,width,base_length,radius
0,boundary,Static,Black,128.0,-2.5,0.0,256.0,5.0,,
1,boundary,Static,Black,-2.5,128.0,0.0,5.0,256.0,,
2,boundary,Static,Black,128.0,258.5,0.0,256.0,5.0,,
3,boundary,Static,Black,258.5,128.0,0.0,5.0,256.0,,
