00000-008.txt,"The black platform is in the middle, with a distance to the right wall slightly larger than the size of the green ball.The green ball is hovering over the black platform.The red ball is placed left below the green ball.The purple bar is at the bottom. |the green and blue are the same distance above the ground, with the green to the left and blue to the right. Directly below and to the right side of the blue is a small red ball.","Both green ball and red ball fall down. The red ball lands on the black platform first, and the green ball falls onto the red ball. The green ball is then bounced to right, lands on the black platform, and moves to the right. The green ball falls through the black platform and finally lands on the purple bar at the bottom.|They all fall, with the green hitting the ground along with the red ball. The blue ball directly above the red hits the red ball on its right side pushing it towards the left where it rolls into the green ball."
00000-007.txt,"The black platform is in the middle, with a distance to the right wall slightly larger than the size of the green ball.The green ball is hovering over the black platform.The red ball is placed left below the green ball.The purple bar is at the bottom. |The red ball is in the bottom left corner, and the green and blue balls are suspended in the air. The green ball is nearly above the red ball.","Both green ball and red ball fall down. The red ball lands on the black platform first, and the green ball falls onto the red ball. The green ball is then bounced to right, lands on the black platform, and moves to the right. The green ball falls through the black platform and finally lands on the purple bar at the bottom.|The green and blue ball fall directly downwards and collide with the bottom. The green ball hits the red ball and begins to roll to the right. It continues rolling until it touches the blue ball."
00000-013.txt,"The black platform is in the middle, with a distance to the right wall slightly larger than the size of the green ball.The green ball is hovering over the black platform.The red ball is placed left below the green ball.The purple bar is at the bottom. |The green and blue balls are small and start about a fourth the way up in elevation. Above the blue ball is a much larger red ball that is slightly to the right of center of the blue ball.","Both green ball and red ball fall down. The red ball lands on the black platform first, and the green ball falls onto the red ball. The green ball is then bounced to right, lands on the black platform, and moves to the right. The green ball falls through the black platform and finally lands on the purple bar at the bottom.|All the balls fall and the green and blue balls collide with the ground and stop. The large red ball falls until it hits the small blue ball on its right side, pushing it to the left. It rolls left until colliding with the green ball and stopping. The large red ball rolls to the right and until stopping at the right edge."
00000-001.txt,"The black platform is in the middle, with a distance to the right wall slightly larger than the size of the green ball.The green ball is hovering over the black platform.The red ball is placed left below the green ball.The purple bar is at the bottom. |The blue and green ball are a fourth the way up which the green on the left side having a small red ball underneath it on the left side.","Both green ball and red ball fall down. The red ball lands on the black platform first, and the green ball falls onto the red ball. The green ball is then bounced to right, lands on the black platform, and moves to the right. The green ball falls through the black platform and finally lands on the purple bar at the bottom.|They all fall with the blue and red hitting the ground first. The larger green hits the small red on its left side which pushes it to the right making it collide with the medium sized blue ball."
00000-091.txt,"The black platform is in the middle, with a distance to the right wall slightly larger than the size of the green ball.The green ball is hovering over the black platform.The red ball is placed left below the green ball.The purple bar is at the bottom. |A larger green ball and smaller blue ball are the same distance above the ground near the middle. Above the green to its left side is a medium sized red ball.","Both green ball and red ball fall down. The red ball lands on the black platform first, and the green ball falls onto the red ball. The green ball is then bounced to right, lands on the black platform, and moves to the right. The green ball falls through the black platform and finally lands on the purple bar at the bottom.|All the balls fall with the green and blue ball landing on the ground. The red ball hits the larger green ball on its left side which pushes it to the right making it collide with the small blue ball."
00000-094.txt,"The black platform is in the middle, with a distance to the right wall slightly larger than the size of the green ball.The green ball is hovering over the black platform.The red ball is placed left below the green ball.The purple bar is at the bottom. |Blue ball is on top of red ball and green ball is next to it.  All three balls are suspended in the air at the mid way point.","Both green ball and red ball fall down. The red ball lands on the black platform first, and the green ball falls onto the red ball. The green ball is then bounced to right, lands on the black platform, and moves to the right. The green ball falls through the black platform and finally lands on the purple bar at the bottom.|All three balls drop.  The blue ball on top of the red ball falls off to the side and rolls into the green ball."
00000-054.txt,"The black platform is in the middle, with a distance to the right wall slightly larger than the size of the green ball.The green ball is hovering over the black platform.The red ball is placed left below the green ball.The purple bar is at the bottom. |The larger green ball and blue ball are about halfway up in elevation. A small red ball is below the blue ball, right of center.","Both green ball and red ball fall down. The red ball lands on the black platform first, and the green ball falls onto the red ball. The green ball is then bounced to right, lands on the black platform, and moves to the right. The green ball falls through the black platform and finally lands on the purple bar at the bottom.|All the balls drop with the red hitting the ground first. The larger green ball hits the ground and stops and the blue lands on the red small ball with its right side. This causes it the go to the left and roll until it hits the green ball already on the ground."
00000-016.txt,"The black platform is in the middle, with a distance to the right wall slightly larger than the size of the green ball.The green ball is hovering over the black platform.The red ball is placed left below the green ball.The purple bar is at the bottom. |The green and blue ball are in the middle vertically with the green on the left. Below the green is a larger red, slight to the left of center of the green.","Both green ball and red ball fall down. The red ball lands on the black platform first, and the green ball falls onto the red ball. The green ball is then bounced to right, lands on the black platform, and moves to the right. The green ball falls through the black platform and finally lands on the purple bar at the bottom.|All the balls drop with the large red hitting the ground first. The blue hits the ground on the right while the green falls onto the reds right side which pushes the green to the left. The green rolls along the ground until hitting the blue ball which is already on the ground."
00000-063.txt,"The black platform is in the middle, with a distance to the right wall slightly larger than the size of the green ball.The green ball is hovering over the black platform.The red ball is placed left below the green ball.The purple bar is at the bottom. |The blue and green balls are the same size and the same distance above the ground, with four balls width between them. The green on the right has a small red ball beneath it to the left side.","Both green ball and red ball fall down. The red ball lands on the black platform first, and the green ball falls onto the red ball. The green ball is then bounced to right, lands on the black platform, and moves to the right. The green ball falls through the black platform and finally lands on the purple bar at the bottom.|All the balls fall with the blue and red hitting the ground. The green is above the red which collides with the red on its left side pushing it towards the blue until they touch."
00000-052.txt,"The black platform is in the middle, with a distance to the right wall slightly larger than the size of the green ball.The green ball is hovering over the black platform.The red ball is placed left below the green ball.The purple bar is at the bottom. |The green ball and blue ball are horizontally even.  The red ball is directly under the blue ball.","Both green ball and red ball fall down. The red ball lands on the black platform first, and the green ball falls onto the red ball. The green ball is then bounced to right, lands on the black platform, and moves to the right. The green ball falls through the black platform and finally lands on the purple bar at the bottom.|All three balls fall and hit the ground.  The blue ball rolls off the red ball and pushes the green ball into the corner of the graph."
