00000-008.txt,small dynamic green ball and small dynamic blue ball,"the green and blue are the same distance above the ground, with the green to the left and blue to the right. Directly below and to the right side of the blue is a small red ball.","They all fall, with the green hitting the ground along with the red ball. The blue ball directly above the red hits the red ball on its right side pushing it towards the left where it rolls into the green ball."
00000-007.txt,small dynamic green ball and medium sized dynamic blue ball,"The red ball is in the bottom left corner, and the green and blue balls are suspended in the air. The green ball is nearly above the red ball.","The green and blue ball fall directly downwards and collide with the bottom. The green ball hits the red ball and begins to roll to the right. It continues rolling until it touches the blue ball."
00000-013.txt,small dynamic green ball and small dynamic blue ball,"The green and blue balls are small and start about a fourth the way up in elevation. Above the blue ball is a much larger red ball that is slightly to the right of center of the blue ball.","All the balls fall and the green and blue balls collide with the ground and stop. The large red ball falls until it hits the small blue ball on its right side, pushing it to the left. It rolls left until colliding with the green ball and stopping. The large red ball rolls to the right and until stopping at the right edge."
00000-001.txt,medium sized dynamic green ball and small dynamic blue ball,"The blue and green ball are a fourth the way up which the green on the left side having a small red ball underneath it on the left side.","They all fall with the blue and red hitting the ground first. The larger green hits the small red on its left side which pushes it to the right making it collide with the medium sized blue ball."
00000-091.txt,medium sized dynamic green ball and small dynamic blue ball,"A larger green ball and smaller blue ball are the same distance above the ground near the middle. Above the green to its left side is a medium sized red ball.","All the balls fall with the green and blue ball landing on the ground. The red ball hits the larger green ball on its left side which pushes it to the right making it collide with the small blue ball."
00000-094.txt,small dynamic green ball and small dynamic blue ball,"Blue ball is on top of red ball and green ball is next to it.  All three balls are suspended in the air at the mid way point.","All three balls drop.  The blue ball on top of the red ball falls off to the side and rolls into the green ball."
00000-054.txt,medium sized dynamic green ball and medium sized dynamic blue ball,"The larger green ball and blue ball are about halfway up in elevation. A small red ball is below the blue ball, right of center.","All the balls drop with the red hitting the ground first. The larger green ball hits the ground and stops and the blue lands on the red small ball with its right side. This causes it the go to the left and roll until it hits the green ball already on the ground."
00000-016.txt,medium sized dynamic green ball and medium sized dynamic blue ball,"The green and blue ball are in the middle vertically with the green on the left. Below the green is a larger red, slight to the left of center of the green.","All the balls drop with the large red hitting the ground first. The blue hits the ground on the right while the green falls onto the reds right side which pushes the green to the left. The green rolls along the ground until hitting the blue ball which is already on the ground."
00000-063.txt,medium sized dynamic green ball and medium sized dynamic blue ball,"The blue and green balls are the same size and the same distance above the ground, with four balls width between them. The green on the right has a small red ball beneath it to the left side.","All the balls fall with the blue and red hitting the ground. The green is above the red which collides with the red on its left side pushing it towards the blue until they touch."
00000-052.txt,medium sized dynamic green ball and medium sized dynamic blue ball,"The green ball and blue ball are horizontally even.  The red ball is directly under the blue ball.","All three balls fall and hit the ground.  The blue ball rolls off the red ball and pushes the green ball into the corner of the graph."
00000-041.txt,small dynamic green ball and medium sized dynamic blue ball,"The green and blue balls are 40% up in elevation of the total height, with the smaller green just to the left of center and the blue about a widths distance from the right side. A larger red is above the green and to the left slightly.","All the balls drop, with the green and blue colliding with the ground and stopping. The red collides onto the green balls left side, forcing it to the right and rolling along the ground until it collides with the blue ball, as which point they both roll to the right side and stop."
00000-080.txt,medium sized dynamic green ball and medium sized dynamic blue ball,"The green and blue balls are a fourth of the way up in elevation, with the blue ball around 2 widths distance from the right side and larger then the green on the left which is directly touching the left side. A small red ball is below the green the the left of center of the green.","All the balls fall with the red and blue hitting the ground first. The green hits the small red on its left side and is forced to the right along the ground. It rolls until it collides with the blue."
00000-002.txt,small dynamic green ball and small dynamic blue ball,"The green ball and blue ball are suspended in the air at the top of the graph.  The red ball is directly underneath the green ball.","The green and blue balls drop and the green ball falls on top of the red ball. The green balls rolls off the red ball and into the blue ball on the other side"
00000-087.txt,medium sized dynamic green ball and medium sized dynamic blue ball,"The blue and green ball are the same distance from the ground near the upper middle, with the red slightly above the green ball and to the left.","They all fall downward with the lower green and blue hitting the floor first. The red, which is slightly to the left side of the green, hits the green pushing it towards the blue."
00000-078.txt,small dynamic green ball and medium sized dynamic blue ball,"The blue and green balls are the same distance up near the top, with the green ball on the left having a larger red ball above it directly above its left side.","All the balls fall with the blue and green hitting the ground. The red ball above the smaller green lands on the green balls left side which pushes it to the right and makes it collide with the blue ball."
00000-066.txt,small dynamic green ball and medium sized dynamic blue ball,"A small green ball and a slightly larger blue ball are a fourth the height up from the bottom. The green is near the middle and the blue on the right side edge.","The red ball falls onto the left side of the green ball, propelling it to the right, and itself to the left. The green ball rolls until colliding with the blue ball. The red moves to the left until very near the left side."
00000-019.txt,medium sized dynamic green ball and medium sized dynamic blue ball,"A red ball hovers at the center top. A green ball hovers at the center left. The blue ball hovers at the center center.","The balls drop. The red ball hits the blue ball and rolls at the right corner. The blue ball rolls into the green ball and the green ball moves a little."
00000-024.txt,medium sized dynamic green ball and medium sized dynamic blue ball,"A tiny red ball is near the bottom, with a larger green ball above it and another larger blue ball next to the green ball.","The balls fall, with the tiny red ball landing first because it was closest to the ground. The green ball falls and bumps into it, sending the red ball to the left and the green ball to the right. The green ball travels right until it runs into the blue ball that fell."
00000-010.txt,medium sized dynamic green ball and medium sized dynamic blue ball,"There is a green ball hovering in the top left. There is a blue ball hovering in the top right. There is a red ball hovering in the bottom left.","All the balls fall down. The green ball lands on the red ball and rolls to the blue ball. The green and blue ball are in the right corner. The red ball is in the left corner."
